CODE|STR
X05.6|OLIGOMENORREA
X05.2|AUSENCIA DE MENSTRUACION (EXC. EMBAR. Y MIEDO DE EMBAR.)
X05.3|HIPOMENORREA
X06.6|MENSTRUACION PUBERAL
X06.5|MENORRAGIA PUBERTAD
X06.4|MENORRAGIA PREMENOPAUSICA
X06.2|HIPERMENORREA
X06.0|MENSTRUACION EXCESIVA (NO MAPEA)
X06.1|HEMORRA., SANGR. NC PUBERAL EXCESIVA
X07.5|MENSTRUACION RETARDADA
X07.2|IRREGULAR FLUJO MENSTRUAL
X07.0|MENSTRUACION IRREGULAR/FRECUENTE (NO MAPEA)
X08.0|SANGRADO INTERMENSTRUAL (NO MAPEA)
X08.1|HEMORRA., SANGR. NC GENITAL FEMENINA NC
X08.2|HEMORRA., SANGR. NC GENITAL INTERMENSTRUAL
X08.7|METRORRAGIA DISFUNCIONAL
X08.3|HEMORRA., SANGR. NC OVULACION, EN LA
X08.6|METRORRAGIA PREMENOPAUSICA
X09.1|INFLAMACION, PREMENSTRUAL NC
X09.2|SINTOMA, QUEJA, SIGNO PREMENSTRUAL NC
X09.0|SIG/SIN PREMENSTRUALES (NO MAPEA)
X10.0|APLAZAMIENTO PROVOCADO MENSTR (NO MAPEA)
X10.1|MENSTRUACION RETRASO VOLUN. DE LA
X11.9|VAGINITIS SENIL NC
X11.11|SEQUEDAD VAGINAL POSTMENOPAUSICA
X11.10|INSOMNIO MENOPAUSIA
X11.7|TENSION MENOPAUSICA
X11.6|SOFOCOS (MENOPAUSIA)
X11.20|MENOPAUSIA YATROGENA
X11.18|SOFOCOS
X11.14|MENOPAUSIA PRECOZ
X11.12|CRAUROSI VAGINAL MENOPAUSICA
X11.1|CLIMATERIO (SINTOMA)
X11.3|SINDROME MENOPAUSICO
X12.0|SANGRADO POSTMENOPAUSICO (NO MAPEA)
X12.4|METRORRAGIA POSTMENOPAUSICA
X12.3|HEMORRA., SANGR. NC POSTMENOPAUSICA
X12.1|HEMORRA., SANGR. NC GENITAL MENOPAU./POSTMENO
X13.3|COITORRAGIA
X13.2|HEMORRA., SANGR. NC POSTCOITAL
X13.0|SANGRADO POSTTCOITAL (NO MAPEA)
X14.0|SECRECION/FLUJO VAGINAL EXCESIVO (NO MAPEA)
X14.1|LEUCORREA
X14.2|ANORMALITAT FLUIX VAGINAL
X14.4|FLUJO VAGINAL
X15.6|SANGRADO VAGINAL
X15.7|SEQUEDAD VAGINAL
X15.2|QUEMAZON VAGINA
X15.4|TUMORACIO VAGINAL NC
Y14.2|PLANIFICACION FAMILIAR HOMBRE
Y14.1|PLANIFICACION FAMILIAR CONTRACEPT. ORALES HOMBRE
Y16.0|SIG/SIN MAMA, EN EL HOMBRE (NO MAPEA)
Y16.5|NODULO DE MAMA MASCULINO
Y16.3|SINTOMA, QUEJA, SIGNO MAMA MASCULINA NC
Y24.0|MIEDO A DISFUNCION SEXUAL, HOMBRE (NO MAPEA)
Y25.0|MIEDO A UNA ETS, EN EL HOMBRE (NO MAPEA)
Y27.0|MIEDO OTR ENF APAR GENITAL HOMBRE (NO MAPEA)
Y27.1|MIEDO (DE PADEC.) ENFERMEDAD GENITAL NC MASCULINA
Y28.0|INCAP/MIN APAR GENITAL, HOMBRE (NO MAPEA)
Y29.1|SINTOMA, QUEJA, SIGNO GENITAL MASCULINO NC
Y29.2|HEMATOSPERMIA
Y52.1|CIRCUNCISION
Y57.1|MASAJE PROSTATICO
Y70.1|INFECCION, URINARIA (TRACTO) SIFILITICA MASCULINA
Y70.3|SIFILIS
Y70.2|CHACRO (SIFILIS)
Y71.1|GONOCOCIA INFECCION MASCULINA (UROGEN.)
Y71.0|GONORREA, EN EL HOMBRE (NO MAPEA)
Y72.1|HERPES SIMPLE GENITAL MASCULINO
Y73.3|ABCESO PROSTATICO
Y73.6|PROSTATISMO
W80.0|EMBARAZO ECTOPICO (NO MAPEA)
T80.3|HIPOGONADISMO
T81.9|BOCIO NODULAR NO TOXICO
T81.8|BOCIO MULTINODULAR NO TOXICO
T81.6|GOLL HOMOGENI
T81.5|GOLL EUTIROIDAL
T81.3|TIROIDES ENGROSAMIENTO
T81.0|BOCIO (NO MAPEA)
T81.18|BOCIO SIMPLE NORMOFUNCIONANTE
T81.17|MASA, TIROIDEA NC
T81.16|AUMENTO, AUMENTADO. TIROIDES
T81.1|BOCIO, NC
T81.11|BOCIO DIFUSO
T81.12|BOCIO ENDOTORACICO
T81.2|NODULO TIROIDEO SIN TIROTOXICOSIS
T81.15|TIROIDES BULTO
T81.14|BOCIO DIFUSO NORMOFUNCIONANTE
T82.14|OBESIDAD IMC > 30 
T82.12|OBESIDAD IMC < 30 
T82.11|OBESIDAD SEVERA 
T82.10|OBESIDAD MODERADA 
T82.8| OBESIDAD GRADO III 
T82.7|OBESIDAD GRADO II 
T82.5|OBESIDAD LEVE 
T82.4|OBESIDAD MORBIDA
T82.2|GRASA (OBESIDAD)
T82.0|OBESIDAD (NO MAPEA)
T83.1|EXCESO (EXCESIVO) PESO (OBESIDAD) SOBREPESO
T83.4|SOBREPESO GRADO I 
T85.1|BASEDOW, ENF. DE
T85.3|BOCIO, MULTINODULAR TOXICO NC
T85.4|HIPERTIROIDISMO
T85.6|NODULO TIROIDEO TIROTOXICO
T85.9|BOCIO NODULAR TOXICO
Y73.5|PROTASTITIS CRONICA
Y74.0|ORQUITIS/EPIDIDIMITIS (NO MAPEA)
Y74.1|ABSCESO EPIDIDIMARIO
Y74.2|ABSCESO TESTICULAR
Y74.3|EPIDIDIMITIS
Y74.6|QUISTE EPIDIDIMARIO
Y75.2|CANDIDIASIS UROGENITAL MASCULINA
Y75.8|CANDIDIASIS UROGENITAL (OTRA INC BALANITIS CANDIDIASICA)
Y75.7|CANDIDIASIS
Y75.5|BALANITIS CANDIDIASICA
Y75.4|MONILIASIS UROGEN. MASC. (DEMOS.)
Y75.3|INFECCION, PENE NC
Y75.1|BALANITIS
Y76.0|CONDILOMA ACUMINADO, HOMBRE (NO MAPEA)
Y77.0|NEOPLASIAS MALIGNAS DE PROSTATA (NO MAPEA)
Y77.3|ADENOCARCINOMA DE PROSTATA
Y77.2|NEOPLASIA  PROSTATA
Y78.3|NEOPLASIA MALIGNA TESTICULO
Y78.1|NEOPLASIA MALIGNA APARATO GENITAL MASC. (EXC. PROSTATA)
Y79.1|NEOPLASIA BENIGNA AP. GENITAL MASCULINO (CU.PARTE)
Y79.2|NEOPLASIA BENIGNA MAMA MASCULINA
Y79.3|NEOPLASIA BENIGNA PROSTATA (EX. HIPERTR. PROSTATICA)
Y80.0|LESIONES APAR GENITAL MASCULINO (NO MAPEA)
Y80.3|CONTUSIO GENITALS MASCULINS
Y80.1|AMPUTACION TRAUMATICA GENITAL, VARON
Y81.5|FIMOSIS INTERVENIDA
Y81.3|PREPUCIO REDUNDANTE
Y81.2|PARAFIMOSIS
Y81.1|CONGENITA, ANOM. FIMOSIS
Y81.0|FIMOSIS/PREPUCIO EXCESIVO (NO MAPEA)
Y82.2|HIPOSPADIA
Y82.3|EPISPADIA
Y82.1|CONGENITA, ANOM. HIPOSPADIAS
Y83.2|TESTICULO EN ASCENSOR
Y83.0|TESTICULO NO DESCENDIDO (NO MAPEA)
Y84.1|CONGENITA, ANOM. GENITAL MASC. NC
Y85.0|HIPERTROFIA PROSTATICA BENIGNA (NO MAPEA)
Y85.1|ADENOMA PROSTATA, DE
Y85.3|ADENOMA, FIBROMA, HIPERPLASIA DE PROSTATA
Y86.1|HIDROCELE
Y99.0|OTR ENF MAMA/GENITAL MASCULINO (NO MAPEA)
Y99.14|URETRITIS TRICOMONIASICA (PROBADA) MASCULINA
Y99.3|CHANCRO BLANDO
Y99.5|ENFERMEDAD MAMA MASCULINA NC
Y99.8|LINFOGRANULOMA VENEREO
Y99.9|TORSION (TESTICULO)
Y99.10|TRICOMONIASIS UROGENI. (PROBADA) MASCULINA
Y99.12|HEMATOCELE
Y99.1|ATROFIA GENITAL MASCULINA
Z01.1|EFECTO ADVERSO POBREZA NC
Z02.1|PROBLEMA AGUA NC
Z02.2|PROBLEMA ALIMENTOS NC
Z03.3|DEFECTO, DEFECTUOSA VIVIENDA, DEFECTOS TEC.
W80.1|ECTOPICO EMBARAZO
W81.1|CONVULSIONES EN EL EMBARAZO
W81.2|ECLAMPSIA (PRE)
W81.0|TOXEMIA DEL EMBARAZO (NO MAPEA)
W81.4|EMBARAZO COMPLICADO (POR) TOXEMIA
W81.7|ALBUMINURIA COMPLICACION DEL EMBARAZO, NC
W81.6|HIPERTEN., HIPERTENSIVO PREECLAMPSICA
W81.5|HIPERTEN., HIPERTENSIVO EMBARAZO
W82.3|ABORTO HABITUAL
W82.5|ABORTO COMPLICADO
W82.6|ABORTO RETENIDO
W82.7|ABORTO COMPLETO
W82.8|ABORTO DIFERIDO
W82.10|MUERTE FETAL INTRAUTERO
W82.1|ABORTO
W82.0|ABORTO ESPONTANEO (NO MAPEA)
W83.3|ABORTO PROVOCADO
W83.1|ABORTO ABORTO LEGAL
W84.31|ANEMIA EN EMBARAZO, PARTO O PUERPERIO
W84.30|EMBARAZO DE RIESGO
W84.29|CRECIMIENTO INTRAUTERO RETARDADO
W84.27|EMBARAZO COMPLICADO (POR) PLACENTA, ALTE. DE LA
K73.12|CIV
K73.11|CIA
K73.10|VENTRICULO, DEFECTO SEPTAL
P18.1|ABUSO (DE) FARMACOS DEPENDIENTE
S76.0|OTRAS INFECCIONES DE LA PIEL (NO MAPEA)
S76.3|LEISHMANIOSIS
Z03.13|SOLITARIO, VIVIR (AISLAM. VIVIEND.)
Z03.14|TRANSEUNTE (PROB. ALOJ.)
Z03.4|DESPLAZAMIENTO PROBLEMAS DE VIVIENDA
Z04.10|TRABAJO SOCIAL
Z04.12|NECESIDAD DE APOYO EN DOMICILIO 
Z04.0|PROBLEMAS SOCIOCULTURALES (NO MAPEA)
Z04.1|DISCRIM. (COLOR, RAZA, RELIGION, SEXO)
Z04.3|PROBLEMA ILEGITIMIDAD NC
Z04.4|PROBLEMA PRACT. SOCIAL./CULT. NC
Z04.6|PROBLEMA SOCIAL NC
Z04.9|INMIGRACION
K95.8|INSUFICIENCIA VENOSA
K95.6|INSUF. VENOSA CRONICA EEII
K95.3|INSUFICIENCIA VENOSA CRONICO
K95.0|VENAS VARICOSAS EN EXTR INFERIORES (NO MAPEA)
R90.6|ADENOIDECTOMIA
R90.5|INFECCION, AMIGDALAS/ADENOIDES, CRON.
R90.2|ENFERMEDAD AMIGD./ADENOID. (CRO.) NC
K75.2|INFARTO CARDIACO
K75.4|RUPTURA CORON. (INFAR.)
K75.6|EMBOLISMO (ARTERIAL) CORONARIO (INFARTO)
K75.9|INFARTO DE MIOCARDIO
R77.4|LARINGITIS
R77.6|LARINGOTRAQUEITIS AGUDA / LARINGOTRAQUEITIS
R77.2|LARINGITIS AGUDA
D87.18|GASTRITIS CRONICA ANTRAL
A86.1|BOTULISMO
D73.10|GASTROENTERITIS
D73.15|DIARREA PRESUNTA INFECCIOSA
A01.6|DOLOR NE, CRONICO GENERALIZADO, MULTIPLES
U72.6|URETRITIS INESPECIFICA
U72.2|SINDROME URETRAL
U72.5|URETRITIS INESPECIFICA MASCULINA
Z07.3|EDUC., EDUCNAL. MINUSVALIAS (EDUCAC.)
R84.0|NEO MALIG TRAQ/BRONQ/PULM (NO MAPEA)
R84.2|NEOPLASIA MALIGNA PULMON
A77.11|PULMON DE CRIADOR DE AVES
A77.8|TIFUS EXANTEMATICO POR PIOJOS
T85.11|HIPERTIROIDISMO SECUNDARIO
T85.12|HIPERTIROIDISMO SUBCLINICO
T86.10|HIPOTIROIDISMO PRIMARIO AUTOINMUNE 
T86.9|HIPOTIROIDISMO POSTQUIRURGICO
T86.8|HIPOTIROIDISMO AUTOINMUNE
T86.7|HIPOTIROIDISMO TERCIARIO
T86.12|HIPOTIROIDISMO PRIMARIO SUBCLINICO 
T86.6|HIPOTIROIDISMO SUBCLINICO
T86.2|MIXEDEMA
T86.4|HIPOTIROIDISMO PRIMARIO
T86.0|HIPOTIROIDISMO/MIXEDEMA (NO MAPEA)
T87.2|COMA INSULINICO
T87.1|COMA HIPOGLUCEMICO NC
T87.3|HIPERINSULINISMO
W01.0|CUESTIONES ACERCA DEL EMBARAZO (NO MAPEA)
W01.3|INFORMACION SOBRE AMNIOCENTESIS
W01.7|RETRASO MENSTRUAL (PROBABLE EMBARAZO)
W01.6|INFORMACION SOBRE P. ANTICONCEP.
W01.1|EMBARAZO DUDA SOBRE SI EXISTE O NO
W01.2|EMBARAZO PREGUNTAS SOBRE
W02.4|PERIODO. AUSENCIA DE (MIEDO EMB.)
W02.3|MIEDO (DE PADEC.) ESTAR EMBARAZADA
W03.1|EMBARAZO COMPLICADO (POR) HEMORR. (PREPARTO)
W03.9|PERDUES VAGINALS DURANT L' EMBARAS
W03.8|METRORRAGIES EN GESTANT
W03.3|HEMORRA., SANGR. NC EMBARAZO
W03.5|HEMORRA., SANGR. NC OBSTETRICA PREPARTO
W03.6|HEMORRAGIA SEGUNDO TRIM. EMBARAZO
W03.7|HEMORRAGIA TERCER TRIM. EMBARAZO
W05.3|VOMITO DEL EMBARAZO
W05.2|NAUSEA DEL EMBARAZO
W10.2|ROTURA PRESERVATIVO (CONTRACEPCION POSTCOITAL)
W10.3|ROTURA PRESERVATIVO
W11.3|ANTICONCEPCION
W11.0|CONTRACEPCION ORAL, EN LA MUJER (NO MAPEA)
W12.3|PLANIFICACION FAMILIAR DIU
S16.12|CONTUSION DE LA CARA
S16.13|CONTUSION DE MANDIBULA
S16.14|CONTUSION DE MANO
S16.15|CONTUSION DE MUSLO
S16.16|CONTUSION DE NARIZ
S16.17|CONTUSION DE PIE
S16.18|CONTUSION DE PIERNA
S16.19|CONTUSION DE RODILLA
S16.20|CONTUSION DEDOS DE LA MANO
S16.21|CONTUSION GLUTEO
S16.22|CONTUSION TORACICA
S16.23|FERIDA CONTUSA
S16.24|CONT TRONCO
S16.25|CONTUSION CADERA
S16.26|CONTUSION CRANEAL
S16.27|CONTUSION CUTANEA
S16.28|CONTUSION DE MUÑECA
S16.29|CONTUSION DE MUÑECA Y MANO, SALVO DEDO(S) SOLO
S16.30|CONTUSION DE TOBILLO Y PIE, SALVO DEDO(S) DEL PIE
S16.31|CONTUSION DEDO
S16.1|CONTUSION CUTANEA, CON SUPERFICIE INTACTA
S17.1|ABRASION PIEL
S17.3|ARAÑAZO PIEL
S17.4|PARCHE PIEL (LESION)
S17.6|FLICTENA A PELL
S17.7|ABRASION/AMPOLLAS/ARAÑAZOS (CON ROTURA SUP. CUTANEA)
S17.8|EROSION
S17.5|VESICULA (PIEL)
S18.1|CORTE (HERIDA)
S18.2|LESION PIEL LACERACIONES, CORTES NC
S18.3|PUNCION/CORTE (PIEL)
S18.5|FERIDA PUNXANT
S18.12|HERIDA MANO
U01.1|DISURIA
U02.8|POLIURIA NOCTURNA
U02.7|POLAQUIURIA
U02.9|POLAQUIURIA / POLIURIA / NICTURIA
U02.0|MICCION IMPERIOSA/FRECUENTE (NO MAPEA)
U02.3|MICCION EXC., POR LA NOCHE
U02.1|FRECUENTE (MICCION)
U04.7|INCONTINENCIA URINARIA Y FECAL
U04.6|ENURESIS ORGANICA
U04.5|INCONTINENCIA URINARIA POR INESTABILIDAD DETRUSOR
U04.4|INCONTINENCIA URINARIA DE ESFUERZO
U04.3|INCONTINENCIA DE URGENCIA
U04.1|ENURESIS (PSICOGENA) ORGANICA
U05.8|ESTRANGURIA
U05.3|INCAPACIDAD INICIAR LA MICCION
U05.2|DIFICUL. MICCION
U05.9|MICCION ANORMAL
U05.7|SINTOMA, QUEJA, SIGNO MICCION NC
U05.0|OTROS PROBLEMAS DE LA MICCION (NO MAPEA)
U06.1|HEMATURIA
U06.3|MACROHEMATURIA
U06.0|HEMATURIA (NO MAPEA)
U07.5|SINTOMA, QUEJA, SIGNO ORINA NC
U07.2|ORINA OLOR MALO
U07.0|OTROS SIG/SIN DE LA ORINA (NO MAPEA)
U08.1|RETENCION URINARIA
U13.2|SINTOMA, QUEJA, SIGNO VEJIGA NC
U13.1|DOLOR VEJIGA NC
U14.3|COLICO NEFRITICO
U14.4|COLICO RENOURETRAL
U26.0|MIEDO CANCER DEL APARATO URINARIO (NO MAPEA)
U27.0|MIEDO OTR ENF APARATO URINARIO (NO MAPEA)
U28.1|INCAPACIDAD (MINUSV.) NC APARATO URINARIO
U28.0|INCAP/MIN APARATO URINARIO (NO MAPEA)
U29.0|OTROS SIG/SIN DEL APARATO URINARIO (NO MAPEA)
U40.1|CISTOSCOPIA
U41.1|INTRAVENOSA, UROGRAFIA
U43.1|LABORA., PRUEB. DE (TEST) CONCREC. RENAL. (CAL.)
U43.2|RENAL PRUEB. DE LABORATOR., DE CALCULOS
U51.1|ASPIRACION (TERAPE.) VESICAL
U53.5|REMOCION CATETER URINARIO
U53.1|CATETERIZACION VESICAL
Y07.0|IMPOTENCIA ORGANICA NE (NO MAPEA)
Y07.2|PERDIDA POTENCIA SEX. (ORGA.) (VARON)
Y07.3|PROBLEMA SEXUAL DISFUNCION MASCULINA (ORGA.) NC
Y10.3|AZOOSPERMIA
Y10.4|OLIGOSPERMIA
Y13.3|VASECTOMIA
Y13.2|ESTERILIZACION MASCULINA
Y13.1|CONSEJO ESTERILIZACION MASCULINA
Y13.0|ESTERILIZACION MASCULINA (NO MAPEA)
Y14.0|OTR METODOS PLAN FAM MASCULINA (NO MAPEA)
F05.7|VISION DIFICIL
F05.1|ANORMAL SENSACION(ES) NC VISUAL
F05.5|DISFUNCION VISUAL
K99.21|GRANULOMATOSIS DE WEGENER
K99.25|VASCULITIS
Z09.5|ENCARCELAMIENTO
Z09.0|PROBLEMAS LEGALES (NO MAPEA)
Z09.8|PROBLEMA LEGAL NC
N91.2|FACIAL, PARALISIS
N91.0|PARALISIS FACIAL/DE BELL (NO MAPEA)
X89.2|SIND. PREMENSTRUAL
Y77.1|NEOPLASIA MALIGNA PROSTATA
B76.1|BAZO, ROTURA
T99.3|ALTERACION ELCTROLITOS
T99.5|ALTERACION LIQUIDOS
T99.9|CARBOHIDRATOS, ANOMA. METABOLICAS DE LOS
T99.12|ENFERMEDAD ENDOCRINA NC
T99.14|ENFERMEDAD METABOLISMO NC
T99.18|HIPOPITUITARISMO
T99.20|PORFIRIA
T99.22|SUPRARRENAL, INSUFICIENCIA
T99.25|HIPERPROLACTINEMIA
T99.28|PUBERTAD TARDIA
U01.5|SIND. MICCIONAL
U01.4|QUEMAZON MICCION (DOLOR)
U01.3|MICCION ESCOZOR
U01.2|DOLOR MICCION NC
U01.0|DISURIA/MICCION DOLOROSA (NO MAPEA)
Z05.6|PROBLEMA OCUPACIONAL NC
Z05.3|INSATISFACCION EMPLEO
Z05.0|PROBL OCUPACIONALES/DE TRABAJO (NO MAPEA)
Z05.1|CARRERA O PROFESION, PROBLEMA DE ELECC. DE
Z06.2|INCAPACIDAD ENCONTRAR TRABAJO
Z06.1|DESEMPLEADO
Z07.5|INSATISFACCION AMBIENTE ESCOLAR
Z07.0|PROBL DE EDUCACION/FORMACION (NO MAPEA)
Z07.9|ABSENTISME ESCOLAR
Z07.7|PROBLEMA EDUCACIONAL NC
Z07.6|NIÑO EDUCACION DIFICULTOSA
Z07.4|IGNORANCIA (FALTA DE ED.)
Z07.1|ADOLESCENCIA PROBLEMAS (DE) EDUCACION
Z08.7|PROBLEMA BIENEST./BALNEARIOS
Z08.8|BIENESTAR SOCIAL/AYUDA ECONOMICA DEPENDENCIA 
Z08.10|PROBLEMA BIENESTAR SOCIAL/TFNO EMERGENCIA 
Z08.5|DECLARACION VOLUNTADES ANTICIPADAS
Z08.4|PROBLEMA SOCIAL INSEGURIDAD (SEGUR.) NC
Z08.0|PROBL CON SISTEMA BIENESTAR/SS (NO MAPEA)
Z08.1|PROBLEMA BIENEST./SEG. SOCIAL/SEGUROS NC
Z09.4|DIFICUL. LEY/POLICIA
Z09.3|DENUNCIA (LEGAL)
Z09.1|ACUSACION (LEGAL)
Z09.2|ADOLESCENCIA PROBLEMAS (DE) POLICIALES/LEGALES
Z09.7|JUICIO (JUSTICIA)
Z10.2|ATENCION DOMICILIARIA
Z10.3|PROBLEMA SISTEMA SANITARIO
Z11.0|PROBLEMAS CON EL ESTAR ENFERMO (NO MAPEA)
Z11.2|MANEJO INEFECTIVO DEL REGIMEN TERAPEUTICO 
Z12.5|CONYUGE RELACION
Z12.0|PROBL RELACION EN LA PAREJA (NO MAPEA)
Z12.4|CONVERSACION PADRES (ENTRE)
Z12.3|CONVERSACION CONYUGE
X54.2|INSERCION, PESARIO
X54.0|REDUCCION/FIJACION/SUT/ESCAYOLA (NO MAPEA)
X67.0|DERIVACION A MEDICO/ESPECIALISTA (NO MAPEA)
X70.1|INFECCION, URINARIA (TRACTO) SIFILITICA FEMENINA
X70.2|SIFILIS FEMENINA (GENITAL)
X70.0|SIFILIS, EN LA MUJER (NO MAPEA)
X71.6|VAGINITIS GONOCOCICA
X71.0|GONORREA, EN LA MUJER (NO MAPEA)
X71.4|INFECCION, URINARIA (TRACTO) GONOCOCICA FEMENINA
X71.2|ENFERMEDAD PELVICA INFLAMATORIA VENEREA (GONORR.)
X72.3|CANDIDIASIS VULVA Y/O VAGINA / VULVOVAGINITIS CANDIDIASICA
X72.2|VAGINITIS CANDIDIASICA NC
X72.0|CANDIDIASIS GENITAL, EN LA MUJER (NO MAPEA)
X73.1|INFECCION, TRICOMONAS (PROBADA) (MUJER)
X73.2|URETRITIS TRICOMONIASICA (PROBADA) FEMENINA
X73.0|TRICOMONIASIS GENITAL, EN LA MUJER (NO MAPEA)
X74.0|ENFERMEDAD INFLAMATORIA PELVICA (NO MAPEA)
X74.4|OVARITIS
X74.2|ENDOMETRITIS
X74.5|SALPINGITIS (AGUDA/CR.) (NO VENEREA) (TROMPA DE FALOPIO)
X75.0|NEO MALIGNAS DE CUELLO DE UTERO (NO MAPEA)
X75.3|CARCINOMA IN SITU, NC (DE) CUELLO DEL UTERO
X75.2|CARCINOMA IN SITU, NC (DE) UTERO
X76.5|CARCINOMA IN SITU, NC (DE) MAMA
X76.4|CARCINOMA INTRADUCTAL, MAMA
X76.3|NEO MAMA
X76.2|CARCINOMA MAMA
X76.0|NEO MALIG MAMA, EN LA MUJER (NO MAPEA)
X77.3|NEOPLASIA MALIGNA UTERO
X77.1|NEOPLASIA MALIGNA APARATO GENITAL FEMENINO (CU. PARTE)  NC
X78.2|MIOMA UTERINO
X78.3|NEOPLASIA BENIGNA UTERO
X78.4|POLIPO (BENIGNO) CERVICAL (ADENOMAT.)
X78.5|MIOMA UTERINO CALCIFICADO 
X78.6|MIOMA UTERINO (HISTERECTOMIA) 
X78.7|MIOMATOSIS UTERINA 
X78.0|FIBROMIOMA UTERINO (NO MAPEA)
X79.4|FIBROADENOMA
X79.1|NEOPLASIA BENIGNA MAMA FEMENINA (EX. MASTOP. FIBROQUISTICA)
X79.2|FIBROADENOMA MAMA FEMENINA 
X80.3|POLIPO DE CERVIX
X80.2|NEOPLASIA BENIGNA OVARIO, TROMPAS
X80.4|ENDOMETRIOMA 
X80.0|NEO BENIG APAR GENITAL FEMENINO (NO MAPEA)
X81.1|TUMORACIO PELVICA NC
X82.2|LESION NO OBSTETRICA NC
X82.3|PROBLEMA RESULTANTE (DE) VIOLACION (LES.GENI.) NC
X82.4|VIOLACION (SEXUAL)(LESION)
X83.0|ANOM CONGEN APAR GENITAL, MUJER (NO MAPEA)
X83.2|ANILLO HIMEN ESTRECHO
X84.0|VAGINITIS/VULVITIS NE (NO MAPEA)
X84.7|VULVOVAGINITIS
X84.6|VAGINITIS O VULVOVAGINITIS
X84.3|VAGINITIS BACTERIANA
X85.0|OTR PROBLEMAS DEL CUELLO DE UTERO (NO MAPEA)
X85.7|VAGINOCERVICITIS
X85.6|ECTOPIA CERVICAL
X85.4|ENFERMEDAD CUELLO DEL UTERO NC
X85.5|QUISTE NABOTH (FOLICULO DE)
X85.1|ATROFIA GENITAL FEMENINA CERVICAL
Z12.2|COMPROMISO, ROTURA DE (NOVIOS)
Z12.1|ABUSO (DE) CONYUGE
Z12.6|DIFICUL. CONYUGE
Z12.7|DISPUTA CONYUGES/PADRES
Z12.8|MATRIMONIAL, CONFLICTO
Z12.9|PROBLEMA CONYUGE NC
Z12.10|PROBLEMA INTERPERSON. NC(CON)CONYUGE ABUSO (VIOLENCIA) NC
Z12.11|RUPTURA SENTIMENTAL (PAREJAS)
Z12.13|CONSEJO CONYUGAL (PAREJA)
Z13.3|CONYUGE INFIDELIDAD
Z13.4|CONYUGE JUGADOR
Z13.0|PROBL CON LA CONDUCTA DE LA PAREJA (NO MAPEA)
Z13.2|CONYUGE ADICCION AL ALCOHOL
Z14.0|PROBL POR ENFERMEDAD DE LA PAREJA (NO MAPEA)
Z14.1|CONYUGE GRAVEMENTE ENFERMO
Z14.4|PROBLEMA INTERPERSON.NC(CON)CONYUGE CUIDADO POR ENF./ NC
Z14.2|CONYUGE INCAPACITADO
Z15.11|PROBLEMA INTERPERSON. CON SEPARACION/DIVORCIO NC
Z15.10|PROBLEMA INTERPERSON. (CON) CONYUGE SEPARACION NC
Z15.3|ENVIUDAMIENTO PERDIDA CONYUGE
Z15.2|ENCARCELAMIENTO CONYUGE
Z15.1|DIVORCIO
Z15.9|PROBLEMA INTERPERSON. (CON) CONYUGE MUERTE NC
Z15.8|PROBLEMA INTERPERSON. (CON) CONYUGE DIVORCIO NC
Z15.7|MUERTE (SUBITA) CONYUGE, DE
Z15.6|MATRIMONIO SEPARACION
Z15.4|MATRIMONIO ABANDONO
Z15.5|MATRIMONIO RUPTURA
Z16.15|PROBLEMA INTERPERSON. (CON) NIÐOS(HIJOS) SEPARACION NC
Z16.14|DIFICUL. HIJO/A
Z16.12|ADOLESCENCIA PROBLEMES DE RELACIO AMB ELS PARES
Z16.9|PROBLEMA INTERPERSON. NIÑOS (HIJOS) NC
Z16.8|PROBLEMA INTERPERSON. (CON) PADRES/HIJOS NC
Z16.6|INFANTIL PELEA
Z16.3|CONVERSACION PADRES/HIJOS
Z16.1|ABUSO (DE) HIJA/O
Z16.11|MALTRATO INFANTIL
Z16.0|PROBL DE RELACION CON LOS HIJOS (NO MAPEA)
Z18.0|PROBL POR ENFERMEDAD DE LOS HIJOS (NO MAPEA)
Z18.2|PROBLEMA ATENC./CUID. DE NIÑOS ENFERMOS NC
Z18.3|PROBLEMA ATENC./CUID. DE NIÑOS INCAPACITADOS NC
Z19.2|NIÑO (NACIDO VIVO) MUERTE (PERDIDA)
Z19.3|PERDIDA HIJO
Z19.0|PERDIDA/MUERTE DE UN HIJO (NO MAPEA)
Z19.1|MUERTE (SUBITA) HIJO, DE
Z20.7|PROBLEMA RELACION (CON). VEASE INTERPERSONAL,PROBL.PADRES NC
Z20.5|PROBLEMA INTERPERSON. (CON) PADRES/OTROS MIEM. NC
Z20.6|PROBLEMA INTERPERSON. NC(CON)FAMILIARES ABUSO (VIOLENCIA) NC
Z20.2|DIFICUL. PADRES
Z20.8|PROBLEMA RELACION(CON).VEASE INTERPERSONAL,PROBL.MIEMBROS NC
Z20.11|SEPARACION PADRES
Z20.13|DIFICUL. FAMILIAR
Z21.1|PROBLEMA INTERPERSON. (CON) FAMILIARES COMPORTAMIENTO NC
Z22.1|PROBLEMA INTERPERSON.NC(CON)FAMILIARES CUIDADO POR ENF./ NC
Z22.2|PROBLEMA PADRES ENFERMOS NC
Z22.0|PROBL POR ENF PADRES OTR FAMILIARES (NO MAPEA)
Z23.1|MUERTE (SUBITA) MIEMBRO FAMILIAR
Z23.2|MUERTE (SUBITA) PADRE
Z23.3|PERDIDA FAMILIAR, MIEMBRO
Z24.4|PROBLEMA INTERPERSON. (CON) NO FAMILIARES NC
